title,lng,lat
河南省沈丘县回民小学,115.077853,33.39388937
河南省沈丘县回民中学,115.0819919,33.40076269
河南省沈丘县第一高级中学,115.0667959,33.39673584
河南省沈丘县第二高级中学,115.0922132,33.37627496
